trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.85, 'e': 0.998}",30,0,-78.3925323487064,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.85, 'e': 0.996004}",20,0,-26.12846266516295,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
3,False,"{'a': 0.85, 'e': 0.994011992}",25,0,-213.76667825498347,"{0: 11, 1: 3, 2: 7, 3: 1, 4: 3}",0
4,False,"{'a': 0.85, 'e': 0.992023968016}",20,0,-181.7051882690672,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
5,False,"{'a': 0.85, 'e': 0.990039920079968}",20,0,-98.28489422736263,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.85, 'e': 0.9880598402398081}",20,0,-82.88437465470409,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.85, 'e': 0.9860837205593285}",30,0,-71.28695011136755,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.85, 'e': 0.9841115531182097}",30,0,-184.11829023087435,"{0: 22, 1: 0, 2: 3, 3: 1, 4: 4}",0
9,False,"{'a': 0.85, 'e': 0.9821433300119734}",35,0,-142.61148396171615,"{0: 24, 1: 2, 2: 6, 3: 1, 4: 2}",0
10,False,"{'a': 0.85, 'e': 0.9801790433519494}",20,0,-74.59538473714002,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0
11,False,"{'a': 0.85, 'e': 0.9782186852652455}",30,0,-100.41042485660776,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.85, 'e': 0.976262247894715}",20,0,-84.90415520708376,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.85, 'e': 0.9743097233989256}",20,0,-165.7523049130035,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
14,False,"{'a': 0.85, 'e': 0.9723611039521277}",20,0,-169.96231367371126,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
