trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.5403023058681398}",30,0,-158.4655602448904,"{0: 19, 1: 2, 2: 4, 3: 3, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.0707372016677029}",25,0,-117.79342607054444,"{0: 19, 1: 0, 2: 2, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.4161468365471424}",25,9,-27.631520261100434,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.8011436155469337}",25,3,2.68522515912042,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.9899924966004454}",25,0,-145.04653430925782,"{0: 15, 1: 0, 2: 6, 3: 3, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9364566872907963}",25,0,-55.75211479743049,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6536436208636119}",30,0,-163.57260148743083,"{0: 21, 1: 0, 2: 5, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.2107957994307797}",20,4,-14.223226910613008,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.28366218546322625}",20,0,-17.368213289818573,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.70866977429126}",20,0,-47.255925962199925,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.960170286650366}",20,6,-67.07510091499954,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.9765876257280235}",20,0,-122.4894493913801,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.7539022543433046}",25,0,-163.83379127136928,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.3466353178350258}",25,10,18.95697916903018,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.14550003380861354}",35,13,39.18945587428822,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.6020119026848236}",30,8,-29.84257845539622,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.9111302618846769}",25,0,-189.12567020819515,"{0: 15, 1: 4, 2: 1, 3: 1, 4: 4}",0
18,False,"{'a': 0.5, 'e': 0.9971721561963784}",30,0,-280.3247767756472,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 5}",0
19,False,"{'a': 0.5, 'e': 0.8390715290764524}",20,0,-26.30469424697556,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.4755369279959925}",30,8,-24.7480306896026,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.004425697988050785}",20,13,15.088143213024116,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.4833047587530059}",30,0,-53.862061318489744,"{0: 23, 1: 2, 2: 3, 3: 2, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.8438539587324921}",25,0,-116.11897637501883,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.9977982791785807}",25,0,-174.6826254098735,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
25,False,"{'a': 0.5, 'e': 0.9074467814501962}",20,0,-66.41048928162442,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.594920663309892}",30,0,-188.47290912954,"{0: 20, 1: 4, 2: 1, 3: 1, 4: 4}",0
27,False,"{'a': 0.5, 'e': 0.1367372182078336}",20,6,20.097004571164923,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.354924266788705}",25,10,-83.91361325370666,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 2}",1
29,False,"{'a': 0.5, 'e': 0.7596879128588213}",20,0,-53.26054467272297,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.9784534628188842}",30,0,-174.78158911658136,"{0: 17, 1: 2, 2: 6, 3: 4, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.9576594803233847}",25,0,-69.02150286572703,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.7023970575027135}",25,0,-100.77140007144465,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.27516333805159693}",20,0,-3.857015429623905,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.2194399632114593}",25,18,13.759123585960674,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.6603167082440802}",25,0,-79.96022193078922,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
36,False,"{'a': 0.5, 'e': 0.939524893748256}",20,9,-52.028737982305536,"{0: 6, 1: 0, 2: 4, 3: 1, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.9887046181866692}",20,0,-45.065872251825105,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.7958149698139441}",25,0,-24.915113009989472,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
