trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9801986733067553}",25,0,-115.35520016417681,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
2,False,"{'a': 0.01, 'e': 0.9704455335485082}",25,0,-40.95723766072021,"{0: 17, 1: 5, 2: 2, 3: 1, 4: 0}",0
3,False,"{'a': 0.01, 'e': 0.9607894391523232}",20,0,-182.39810191570447,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 4}",0
4,False,"{'a': 0.01, 'e': 0.951229424500714}",20,0,-222.02474155699528,"{0: 9, 1: 2, 2: 4, 3: 1, 4: 4}",1
5,False,"{'a': 0.01, 'e': 0.9417645335842487}",20,0,-34.56913980849557,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
6,False,"{'a': 0.01, 'e': 0.9323938199059483}",25,0,-179.8508600907659,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
7,False,"{'a': 0.01, 'e': 0.9231163463866358}",30,0,-104.42949252560416,"{0: 15, 1: 6, 2: 8, 3: 1, 4: 0}",0
8,False,"{'a': 0.01, 'e': 0.9139311852712282}",30,0,-249.75134559027344,"{0: 18, 1: 0, 2: 5, 3: 3, 4: 4}",0
9,False,"{'a': 0.01, 'e': 0.9048374180359595}",20,0,-38.97864459153138,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
10,False,"{'a': 0.01, 'e': 0.8958341352965282}",20,0,-55.31004846231288,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.01, 'e': 0.8869204367171575}",20,4,-10.177903683524095,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.01, 'e': 0.8780954309205613}",30,0,-69.77282858970227,"{0: 21, 1: 3, 2: 4, 3: 2, 4: 0}",0
13,False,"{'a': 0.01, 'e': 0.8693582353988059}",25,0,-101.0151520292992,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.8607079764250578}",25,0,-83.5892451826723,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.01, 'e': 0.8521437889662113}",20,2,-91.56665834976747,"{0: 11, 1: 4, 2: 1, 3: 0, 4: 2}",1
16,False,"{'a': 0.01, 'e': 0.8436648165963837}",25,0,-169.26341330381206,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 4}",0
17,False,"{'a': 0.01, 'e': 0.835270211411272}",25,8,-123.52287712084605,"{0: 9, 1: 1, 2: 5, 3: 0, 4: 2}",1
18,False,"{'a': 0.01, 'e': 0.8269591339433623}",25,0,-119.31380492853062,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
19,False,"{'a': 0.01, 'e': 0.8187307530779818}",30,0,-108.23318092042732,"{0: 21, 1: 4, 2: 1, 3: 3, 4: 1}",0
20,False,"{'a': 0.01, 'e': 0.8105842459701871}",20,3,-27.72634800533713,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
21,False,"{'a': 0.01, 'e': 0.8025187979624785}",25,13,11.410514504368686,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.01, 'e': 0.794533602503334}",20,0,-33.64215621646836,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
23,False,"{'a': 0.01, 'e': 0.7866278610665535}",30,0,-3.939222336253925,"{0: 26, 1: 0, 2: 4, 3: 0, 4: 0}",0
24,False,"{'a': 0.01, 'e': 0.7788007830714049}",20,0,-73.35609144089935,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
25,False,"{'a': 0.01, 'e': 0.7710515858035663}",30,0,-90.35327629438042,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
26,False,"{'a': 0.01, 'e': 0.7633794943368531}",25,0,-179.23573065673173,"{0: 17, 1: 1, 2: 2, 3: 1, 4: 4}",0
27,False,"{'a': 0.01, 'e': 0.7557837414557255}",25,0,-202.4850818002295,"{0: 13, 1: 3, 2: 4, 3: 2, 4: 3}",0
28,False,"{'a': 0.01, 'e': 0.7482635675785653}",20,0,-44.2581137151946,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
29,False,"{'a': 0.01, 'e': 0.7408182206817179}",35,0,-105.85141500553254,"{0: 25, 1: 2, 2: 5, 3: 2, 4: 1}",0
30,False,"{'a': 0.01, 'e': 0.7334469562242892}",20,0,-80.3437023296843,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
31,False,"{'a': 0.01, 'e': 0.7261490370736909}",30,0,-46.14946622719315,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
32,False,"{'a': 0.01, 'e': 0.7189237334319262}",20,13,-3.4589580217294933,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
33,False,"{'a': 0.01, 'e': 0.7117703227626097}",30,0,-85.40041083155805,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 2}",0
34,False,"{'a': 0.01, 'e': 0.7046880897187134}",25,8,-54.80292949356911,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 0}",1
35,False,"{'a': 0.01, 'e': 0.697676326071031}",20,14,11.710953230555262,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.01, 'e': 0.6907343306373547}",30,0,-140.24852587166902,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
37,False,"{'a': 0.01, 'e': 0.6838614092123558}",20,0,-119.39004976760056,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
38,False,"{'a': 0.01, 'e': 0.6770568744981647}",25,17,1.3805089308929261,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
39,False,"{'a': 0.01, 'e': 0.6703200460356393}",20,1,-43.311721860403495,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 0}",1
