trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",25,0,-83.1352642467655,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.990025}",20,0,-138.46880995545882,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.985074875}",20,0,-158.50546286642435,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.980149500625}",25,0,-124.24371842302901,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.975248753121875}",20,8,-12.323385862175456,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.9703725093562656}",35,0,-161.9908766018932,"{0: 23, 1: 5, 2: 4, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.9655206468094842}",35,0,-274.5716389291066,"{0: 19, 1: 1, 2: 9, 3: 2, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.9606930435754368}",20,0,-50.251226091965165,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9558895783575596}",20,0,-94.20525316701767,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9511101304657719}",20,0,-51.72798451800295,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.946354579813443}",20,0,-121.95604998993285,"{0: 11, 1: 2, 2: 3, 3: 3, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9416228069143757}",25,0,-94.16222244983922,"{0: 13, 1: 3, 2: 9, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9369146928798039}",30,0,-123.79724048050326,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9322301194154049}",20,0,-68.73186442132123,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.9275689688183278}",30,0,-172.858824596139,"{0: 17, 1: 3, 2: 6, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.9229311239742362}",25,0,-23.413885944953044,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.918316468354365}",20,0,-74.55491755485507,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9137248860125932}",20,0,-55.573941971517606,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.9091562615825302}",30,0,-203.65215900956963,"{0: 15, 1: 5, 2: 6, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.9046104802746175}",30,0,-104.70924391245877,"{0: 19, 1: 5, 2: 3, 3: 2, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.9000874278732445}",20,9,-22.90346856583636,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.8955869907338783}",20,5,-6.211149682561811,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.8911090557802088}",20,1,-51.08100610226695,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 1}",1
24,False,"{'a': 0.5, 'e': 0.8866535105013078}",20,0,-91.10881760568596,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.8822202429488012}",25,0,-153.5543815221529,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.8778091417340572}",25,0,-42.55804430923363,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.873420096025387}",30,0,-151.0520663686485,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.86905299554526}",35,0,-216.6536718024175,"{0: 23, 1: 1, 2: 6, 3: 1, 4: 4}",0
29,False,"{'a': 0.5, 'e': 0.8647077305675337}",20,0,-4.168993083189339,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.8603841919146961}",25,0,-102.47761564334331,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.8560822709551226}",35,0,-186.43616114022444,"{0: 22, 1: 5, 2: 4, 3: 1, 4: 3}",0
32,False,"{'a': 0.5, 'e': 0.8518018596003469}",30,0,-90.61028567528169,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.8475428503023452}",25,0,-144.84255156042568,"{0: 15, 1: 0, 2: 6, 3: 3, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.8433051360508335}",30,0,-162.03600586723454,"{0: 19, 1: 1, 2: 6, 3: 2, 4: 2}",0
35,False,"{'a': 0.5, 'e': 0.8390886103705792}",20,0,-93.57792440050227,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
36,False,"{'a': 0.5, 'e': 0.8348931673187264}",20,0,-29.405498600274818,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.8307187014821328}",20,0,-50.989854563699396,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.826565107974722}",20,0,-69.89399420320626,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.8224322824348484}",20,0,-46.28690373069013,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.8183201210226743}",25,0,-15.282340444447058,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.8142285204175609}",25,12,-4.875627279788958,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.810157377815473}",25,0,-107.41012031573109,"{0: 19, 1: 2, 2: 0, 3: 2, 4: 2}",0
43,False,"{'a': 0.5, 'e': 0.8061065909263957}",25,0,-51.31233857572188,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.8020760579717637}",30,0,-70.14299910093808,"{0: 22, 1: 4, 2: 2, 3: 1, 4: 1}",1
45,False,"{'a': 0.5, 'e': 0.7980656776819048}",20,0,-181.2919242914452,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
46,False,"{'a': 0.5, 'e': 0.7940753492934953}",30,0,-81.35909700619396,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 2}",0
47,False,"{'a': 0.5, 'e': 0.7901049725470278}",30,0,-134.99025004053345,"{0: 19, 1: 4, 2: 4, 3: 1, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.7861544476842928}",20,0,-116.47374381153124,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.7822236754458712}",20,0,-133.20510307703432,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
50,False,"{'a': 0.5, 'e': 0.7783125570686419}",20,0,-101.7051694105262,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
51,False,"{'a': 0.5, 'e': 0.7744209942832987}",20,0,-92.81452480650847,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.7705488893118821}",30,5,-124.62638675124846,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",1
53,False,"{'a': 0.5, 'e': 0.7666961448653228}",30,0,-80.15013080757811,"{0: 20, 1: 3, 2: 5, 3: 2, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.7628626641409961}",25,0,-144.94484538892024,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
55,False,"{'a': 0.5, 'e': 0.7590483508202912}",20,0,-76.41331943208283,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.7552531090661897}",20,5,-36.71787589932231,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
57,False,"{'a': 0.5, 'e': 0.7514768435208588}",20,0,-35.456559976363515,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.7477194593032545}",25,19,8.631715028390284,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.7439808620067382}",20,8,17.982970566231696,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.7402609576967045}",25,1,-70.27696862586335,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 1}",1
61,False,"{'a': 0.5, 'e': 0.736559652908221}",25,4,-1.85237368992494,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.7328768546436798}",30,0,-6.825577888387279,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.7292124703704614}",20,7,-33.47388128866716,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
64,False,"{'a': 0.5, 'e': 0.7255664080186092}",25,0,-104.69873047150995,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
65,False,"{'a': 0.5, 'e': 0.7219385759785161}",20,0,-38.12235079163339,"{0: 15, 1: 4, 2: 0, 3: 0, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.7183288830986235}",20,0,-75.36246828898668,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.7147372386831303}",20,10,0.8902160231933571,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.7111635524897147}",25,16,-41.76344979748927,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 1}",1
69,False,"{'a': 0.5, 'e': 0.7076077347272661}",20,0,-61.00522577026646,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
70,False,"{'a': 0.5, 'e': 0.7040696960536298}",20,0,-39.25934749715641,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.7005493475733616}",20,0,-93.50436922693268,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
72,False,"{'a': 0.5, 'e': 0.6970466008354949}",20,10,16.71172684120265,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.6935613678313174}",25,0,-70.17740942183,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.6900935609921608}",25,1,-59.042983196908104,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 2}",1
75,False,"{'a': 0.5, 'e': 0.6866430931872}",30,15,-68.19521189874519,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 2}",1
76,False,"{'a': 0.5, 'e': 0.683209877721264}",20,6,-32.65637318090215,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.6797938283326577}",25,0,-15.811221125129435,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",1
