trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-141.6077060154358,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",35,0,-196.1137191825585,"{0: 20, 1: 1, 2: 9, 3: 4, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",35,0,-127.30706677006535,"{0: 18, 1: 11, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,14,-73.20963671863925,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 2}",1
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-133.23939761366424,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-117.27265471487624,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-107.75386610561402,"{0: 18, 1: 3, 2: 0, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-224.21189859100124,"{0: 14, 1: 2, 2: 3, 3: 2, 4: 4}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-37.32263789728706,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-195.7620349863195,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-94.84927854882442,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-77.17033069395748,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,13,-99.10500902955368,"{0: 10, 1: 2, 2: 2, 3: 2, 4: 1}",1
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-191.8848636347626,"{0: 12, 1: 2, 2: 5, 3: 5, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-27.281049038088334,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-211.3264846710228,"{0: 12, 1: 0, 2: 9, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",35,0,-304.9444240084598,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 6}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,1,-121.81429591293015,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 1}",1
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-137.1810763711975,"{0: 18, 1: 2, 2: 7, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-135.70085990311927,"{0: 21, 1: 4, 2: 2, 3: 0, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-26.627986129576612,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-192.41428887405428,"{0: 13, 1: 1, 2: 6, 3: 3, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-64.80034332437272,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-103.83664770582523,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-151.8699217778209,"{0: 18, 1: 1, 2: 7, 3: 3, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-104.47560471661748,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,11,-59.0176643509245,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 1}",1
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-70.17539144857903,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",35,0,-199.2971916807992,"{0: 18, 1: 2, 2: 11, 3: 3, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-128.13491520368243,"{0: 12, 1: 3, 2: 9, 3: 0, 4: 1}",0
